Reporting Period ID,Country,Group,Subgroup,Unit of Measure,Value
2022-MAY,Afghanistan,Economic,CPI- Inflation Rate ,(% YoY),
2022-MAY,Armenia,Economic,CPI- Inflation Rate ,(% YoY),8.4
2022-MAY,Azerbaijan,Economic,CPI- Inflation Rate ,(% YoY),12.4
2022-MAY,Georgia,Economic,CPI- Inflation Rate ,(% YoY),12.8
2022-MAY,Kazakhstan,Economic,CPI- Inflation Rate ,(% YoY),13.2
2022-MAY,Kyrgyz Republic,Economic,CPI- Inflation Rate ,(% YoY),14.5
2022-MAY,Pakistan,Economic,CPI- Inflation Rate ,(% YoY),13.4
2022-MAY,Tajikistan,Economic,CPI- Inflation Rate ,(% YoY),7.3
2022-MAY,Turkmenistan,Economic,CPI- Inflation Rate ,(% YoY),12.45
2022-MAY,Uzbekistan,Economic,CPI- Inflation Rate ,(% YoY),10.38
2022-MAY,PRC,Economic,CPI- Inflation Rate ,(% YoY),2.1
2022-MAY,Mongolia,Economic,CPI- Inflation Rate ,(% YoY),14.4
2022-MAY,Fiji,Economic,CPI- Inflation Rate ,(% YoY),4.7
2022-MAY,Papua New Guinea,Economic,CPI- Inflation Rate ,(% YoY),5.7
2022-MAY,Bangladesh,Economic,CPI- Inflation Rate ,(% YoY),6.29
2022-MAY,Bhutan,Economic,CPI- Inflation Rate ,(% YoY),5.57
2022-MAY,India,Economic,CPI- Inflation Rate ,(% YoY),7.79
2022-MAY,Maldives,Economic,CPI- Inflation Rate ,(% YoY),
2022-MAY,Nepal,Economic,CPI- Inflation Rate ,(% YoY),7.28
2022-MAY,Sri Lanka,Economic,CPI- Inflation Rate ,(% YoY),29.8
2022-MAY,Brunei Darussalam,Economic,CPI- Inflation Rate ,(% YoY),2.2
2022-MAY,Cambodia,Economic,CPI- Inflation Rate ,(% YoY),6.3
2022-MAY,Indonesia,Economic,CPI- Inflation Rate ,(% YoY),3.47
2022-MAY,Lao PDR,Economic,CPI- Inflation Rate ,(% YoY),9.9
2022-MAY,Malaysia,Economic,CPI- Inflation Rate ,(% YoY),2.3
2022-MAY,Myanmar,Economic,CPI- Inflation Rate ,(% YoY),12.63
2022-MAY,Philippines,Economic,CPI- Inflation Rate ,(% YoY),4.9
2022-MAY,Singapore,Economic,CPI- Inflation Rate ,(% YoY),5.4
