Reporting Period ID,Status,Country,List Group
2022-MAY,Rainfall,Philippines,A
2022-MAY,Rainfall,Cambodia,A
2022-MAY,Rainfall,Lao PDR,A
2022-MAY,Rainfall,Vietnam,A
2022-MAY,Rainfall,Fiji,A
2022-MAY,Rainfall,Vanuatu,B
2022-MAY,Rainfall,Nepal,B
2022-MAY,Rainfall,Indonesia,B
2022-MAY,Rainfall,Timor-Leste,B
2022-MAY,Rainfall,India,B
2022-MAY,Drought,Bhutan,A
2022-MAY,Drought,Nepal,A
2022-MAY,Drought,Tajikistan,A
2022-MAY,Drought,Kyrgyz Republic,A
2022-MAY,Drought,Afghanistan,B
2022-MAY,Drought,Pakistan,B
2022-MAY,Drought,Mongolia,B
2022-MAY,Drought,India,B
